position_slug,position_name,description,detailed_instructions,category,difficulty_level,intimacy_level,required_flexibility,tags,benefits,tips,image_url,image_url_illustrated,thumbnail_url,video_tutorial_url,animation_url,image_file,image_illustrated_file,thumbnail_file,video_tutorial_file,animation_file,sort_order,is_premium,requires_dlc,is_active
107-scorpion,107 Scorpion,Illustrated 107 Scorpion position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|107|scorpion,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,107-scorpion.png,,,,,,false,true,true
108-caliper,108 Caliper,Illustrated 108 Caliper position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|108|caliper,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,108-caliper.png,,,,,,false,true,true
109-golden-gate,109 Golden Gate,Illustrated 109 Golden Gate position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|109|golden|gate,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,109-golden-gate.png,,,,,,false,true,true
11-inquisitor,11 Inquisitor,Illustrated 11 Inquisitor position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|11|inquisitor,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,11-inquisitor.png,,,,,,false,true,true
110-tiramisu,110 Tiramisu,Illustrated 110 Tiramisu position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|110|tiramisu,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,110-tiramisu.png,,,,,,false,true,true
111-horizon,111 Horizon,Illustrated 111 Horizon position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|111|horizon,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,111-horizon.png,,,,,,false,true,true
112-joystick,112 Joystick,Illustrated 112 Joystick position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|112|joystick,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,112-joystick.png,,,,,,false,true,true
113-cowgirl,113 Cowgirl,Illustrated 113 Cowgirl position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|113|cowgirl,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,113-cowgirl.png,,,,,,false,true,true
114-chair,114 Chair,Illustrated 114 Chair position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|114|chair,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,114-chair.png,,,,,,false,true,true
115-anvil,115 Anvil,Illustrated 115 Anvil position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|115|anvil,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,115-anvil.png,,,,,,false,true,true
116-reverse-cowboy,116 Reverse Cowboy,Illustrated 116 Reverse Cowboy position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|116|reverse|cowboy,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,116-reverse-cowboy.png,,,,,,false,true,true
117-pretzel-dip,117 Pretzel Dip,Illustrated 117 Pretzel Dip position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|117|pretzel|dip,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,117-pretzel-dip.png,,,,,,false,true,true
118-superman,118 Superman,Illustrated 118 Superman position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|118|superman,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,118-superman.png,,,,,,false,true,true
119-barberry,119 Barberry,Illustrated 119 Barberry position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|119|barberry,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,119-barberry.png,,,,,,false,true,true
12-whisper,12 Whisper,Illustrated 12 Whisper position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|12|whisper,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,12-whisper.png,,,,,,false,true,true
120-aquarius,120 Aquarius,Illustrated 120 Aquarius position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|120|aquarius,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,120-aquarius.png,,,,,,false,true,true
121-pointer,121 Pointer,Illustrated 121 Pointer position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|121|pointer,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,121-pointer.png,,,,,,false,true,true
122-eraser,122 Eraser,Illustrated 122 Eraser position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|122|eraser,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,122-eraser.png,,,,,,false,true,true
123-mirage,123 Mirage,Illustrated 123 Mirage position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|123|mirage,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,123-mirage.png,,,,,,false,true,true
124-clip,124 Clip,Illustrated 124 Clip position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|124|clip,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,124-clip.png,,,,,,false,true,true
125-alley,125 Alley,Illustrated 125 Alley position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|125|alley,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,125-alley.png,,,,,,false,true,true
126-italian-chandelier,126 Italian Chandelier,Illustrated 126 Italian Chandelier position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|126|italian|chandelier,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,126-italian-chandelier.png,,,,,,false,true,true
127-acrobat,127 Acrobat,Illustrated 127 Acrobat position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|127|acrobat,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,127-acrobat.png,,,,,,false,true,true
128-lap-dance,128 Lap Dance,Illustrated 128 Lap Dance position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|128|lap|dance,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,128-lap-dance.png,,,,,,false,true,true
129-octopus,129 Octopus,Illustrated 129 Octopus position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|129|octopus,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,129-octopus.png,,,,,,false,true,true
13-spoon,13 Spoon,Illustrated 13 Spoon position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|13|spoon,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,13-spoon.png,,,,,,false,true,true
130-ballet-dancer,130 Ballet Dancer,Illustrated 130 Ballet Dancer position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|130|ballet|dancer,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,130-ballet-dancer.png,,,,,,false,true,true
131-plain,131 Plain,Illustrated 131 Plain position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|131|plain,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,131-plain.png,,,,,,false,true,true
132-female-peasant,132 Female Peasant,Illustrated 132 Female Peasant position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|132|female|peasant,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,132-female-peasant.png,,,,,,false,true,true
133-amphibian,133 Amphibian,Illustrated 133 Amphibian position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|133|amphibian,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,133-amphibian.png,,,,,,false,true,true
134-goddess,134 Goddess,Illustrated 134 Goddess position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|134|goddess,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,134-goddess.png,,,,,,false,true,true
135-anaconda,135 Anaconda,Illustrated 135 Anaconda position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|135|anaconda,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,135-anaconda.png,,,,,,false,true,true
136-thirst,136 Thirst,Illustrated 136 Thirst position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|136|thirst,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,136-thirst.png,,,,,,false,true,true
137-starfish,137 Starfish,Illustrated 137 Starfish position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|137|starfish,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,137-starfish.png,,,,,,false,true,true
138-asian-cowgirl,138 Asian Cowgirl,Illustrated 138 Asian Cowgirl position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|138|asian|cowgirl,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,138-asian-cowgirl.png,,,,,,false,true,true
139-rainbow,139 Rainbow,Illustrated 139 Rainbow position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|139|rainbow,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,139-rainbow.png,,,,,,false,true,true
14-tulip,14 Tulip,Illustrated 14 Tulip position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|14|tulip,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,14-tulip.png,,,,,,false,true,true
140-doggy-style,140 Doggy Style,Illustrated 140 Doggy Style position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|140|doggy|style,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,140-doggy-style.png,,,,,,false,true,true
141-she-wolf,141 She Wolf,Illustrated 141 She Wolf position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|141|she|wolf,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,141-she-wolf.png,,,,,,false,true,true
142-rabbit-ears,142 Rabbit Ears,Illustrated 142 Rabbit Ears position with comfort-first guidance.,"Confirm mutual consent and boundaries before starting.
Choose a stable, comfortable surface and add support cushions if needed.
Align your bodies slowly and adjust angles for comfort and stability.
Pause to check in and stop immediately if there is pain or discomfort.",positions,intermediate,medium,some,positions|142|rabbit|ears,Encourages communication and teamwork between partners.|Can be adapted with props for comfort and accessibility.,Move slowly at first and adjust posture to avoid joint strain.|Use steady breathing to stay relaxed and coordinated.|Hydrate and take breaks as needed.,,,,,,142-rabbit-ears.png,,,,,,false,true,true
